"l_office_no","l_office_name","gu_name","r_holder_no","x_value","y_value"
1034,고덕동 래미안 힐스테이트,강동구,15,37.5619,127.151
1032,선사고등학교,강동구,20,37.5567,127.136
1029,롯데 시네마,강동구,10,37.5365,127.125
1026,대명초교 입구 교차로,강동구,14,37.5466,127.156
1050,둔촌역 3번 출입구,강동구,15,37.5267,127.136
1023,한국종합기술사옥 앞,강동구,15,37.55,127.175
1018,둔촌 주공 GS 맞은편,강동구,20,37.5247,127.135
1020,강동경찰서,강동구,15,37.5283,127.127
1057,능골근린공원,강동구,15,37.5558,127.174
1016,해뜨는 주유소옆 리엔파크 109동앞,강동구,10,37.5594,127.171
1053,동명근린공원 진입로 (아리수로),강동구,8,37.5625,127.165
1015,샛마을 근린공원,강동구,13,37.5501,127.147
1012,서울 상운차량,강동구,15,37.536,127.123
1042,강일 2.5단지 사이,강동구,10,37.5686,127.177
1048,동부기업(둔촌동),강동구,10,37.531,127.142
1061,천호초교 입구 사거리(일주빌딩),강동구,10,37.5469,127.135
1009,천호역4번출구(현대백화점),강동구,20,37.5387,127.124
1039,고덕초등학교,강동구,7,37.5613,127.168
1006,롯데캐슬 115동앞,강동구,15,37.5549,127.143
1036,고덕동 주양쇼핑,강동구,10,37.552,127.153
1002,해공공원(천호동),강동구,10,37.5452,127.126
1033,고덕동 아남아파트,강동구,10,37.558,127.145
1031,암사동 CBIS,강동구,15,37.5559,127.13
1028,포레스 주상복합 빌딩,강동구,10,37.5331,127.123
1025,상일초등학교,강동구,10,37.5468,127.173
1022,길동 사거리(초소앞),강동구,20,37.5338,127.138
1019,다성이즈빌아파트(호원대 대각선 맞은편),강동구,10,37.5268,127.13
1056,강일리엔파크 7~11단지,강동구,10,37.5633,127.179
1052,리싸이클시티,강동구,10,37.5565,127.157
